                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2108,                 1.0635,                 1.3955,                0.30108,                0.76768,                0.30867,                0.17883,                 1.3927,                 2.1294,                 1.6771,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2171,                 1.0705,                 1.4029,                0.29557,                0.75017,                0.31237,                0.17759,                 1.4099,                  2.043,                 1.7059,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1779,                  1.056,                 1.3829,                0.30651,                0.76768,                0.33362,                0.20754,                 1.3482,                  1.898,                 1.6292,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.177,                 1.0411,                 1.3681,                0.30647,                0.85859,                0.34215,                0.21829,                 1.3375,                  2.074,                 1.6311,               0.001307,               0.001307,               0.001307
                     38,                 1.1667,                 1.0282,                 1.3683,                0.32023,                0.84848,                0.35156,                0.22638,                 1.2293,                 2.0044,                 1.5627,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1783,                 1.0302,                 1.3612,                0.30248,                0.72714,                0.29841,                0.18684,                 1.3749,                  2.252,                  1.657,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1388,                0.97606,                 1.3417,                0.30464,                0.82828,                0.34603,                0.20803,                 1.3308,                 2.1743,                 1.6296,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1605,                 1.0301,                 1.3472,                0.31861,                0.83838,                0.34804,                0.21662,                 1.3623,                 1.8541,                 1.6454,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1121,                0.97138,                 1.3346,                0.31111,                0.81818,                0.32267,                0.19683,                 1.3487,                  1.995,                  1.642,               0.001208,               0.001208,               0.001208
                     43,                 1.1268,                0.96155,                 1.3333,                0.33057,                0.84299,                0.34235,                0.21853,                 1.2933,                 2.1247,                 1.5712,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1401,                0.97575,                 1.3473,                0.32597,                0.84022,                0.33552,                0.21171,                 1.2524,                 1.7081,                 1.5524,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1273,                0.98306,                 1.3342,                0.32317,                0.76768,                0.35091,                0.21389,                 1.3876,                 2.1515,                 1.6866,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1087,                0.92132,                 1.3265,                0.32661,                0.73978,                0.36895,                0.23938,                 1.3273,                 2.3284,                 1.6367,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1109,                0.96664,                 1.3342,                0.30995,                0.83838,                0.32844,                0.20434,                 1.2787,                  1.871,                 1.5862,               0.001109,               0.001109,               0.001109
                     48,                 1.0715,                0.91794,                 1.3067,                0.30601,                0.82401,                0.34395,                0.21916,                 1.2735,                 1.9158,                 1.5503,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0978,                0.95498,                 1.3253,                 0.3241,                0.81372,                0.35066,                0.22353,                 1.2717,                 1.9128,                 1.5555,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0931,                0.96858,                 1.3107,                0.29268,                0.83596,                0.33085,                0.21896,                 1.2761,                   2.14,                 1.5409,              0.0010496,              0.0010496,              0.0010496
